hh_id,day_weight,cms_zone,survey_mode,person_id,person_num,day_num,travel_date,travel_date_dow,day_is_complete,made_trips,num_trips,num_complete_trip_surveys,num_deleted_trips,no_travel_capture,no_travel_no_work,no_travel_telework,no_travel_housework,no_travel_kids_break,no_travel_no_transport,no_travel_sick,no_travel_delivery,no_travel_homeschool,no_travel_weather,no_travel_other,deliver_prepared,deliver_service,deliver_food,deliver_package_home,deliver_package_work,deliver_package_locker,deliver_other,deliver_none,shop_online,telecommute_time
191547753,35.18806,Inner Brooklyn,1,19154775301,1,7,06/27/2019,4,1,1,11,11,0,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,0,1,2,2
191547753,35.18806,Inner Brooklyn,1,19154775301,1,6,06/26/2019,3,1,1,9,9,0,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,0,1,2,8
191547753,35.18806,Inner Brooklyn,1,19154775301,1,5,06/25/2019,2,1,1,5,5,0,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,0,1,2,2.5
191547753,35.18806,Inner Brooklyn,1,19154775301,1,4,06/24/2019,1,1,1,9,9,0,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,0,1,2,0
191547753,35.18806,Inner Brooklyn,1,19154775301,1,3,06/23/2019,7,1,1,6,6,0,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,0,1,2,0
191547753,35.18806,Inner Brooklyn,1,19154775301,1,2,06/22/2019,6,1,1,7,7,0,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,0,1,2,0
191547753,0,Inner Brooklyn,1,19154775301,1,1,06/21/2019,5,0,1,11,9,2,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,0,1,2,4
19305798,0,Inner Queens,1,1930579801,1,7,06/07/2019,5,0,1,7,0,0,995,995,995,995,995,995,995,995,995,995,995,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,
19305798,0,Inner Queens,1,1930579801,1,6,06/06/2019,4,0,1,4,0,0,995,995,995,995,995,995,995,995,995,995,995,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,
19305798,0,Inner Queens,1,1930579801,1,5,06/05/2019,3,0,1,8,0,0,995,995,995,995,995,995,995,995,995,995,995,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,
19305798,0,Inner Queens,1,1930579801,1,4,06/04/2019,2,0,0,0,0,0,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,
19305798,0,Inner Queens,1,1930579801,1,3,06/03/2019,1,0,1,6,2,0,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,0,1,2,0
19305798,51.82244,Inner Queens,1,1930579801,1,2,06/02/2019,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0
19305798,51.82244,Inner Queens,1,1930579801,1,1,06/01/2019,6,1,1,3,3,0,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,0,1,2,0
19170331,21.33715,Inner Queens,1,1917033101,1,7,06/08/2019,6,1,1,5,5,0,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,0,1,2,0
19170331,21.33715,Inner Queens,1,1917033101,1,6,06/07/2019,5,1,1,11,11,0,995,995,995,995,995,995,995,995,995,995,995,0,0,0,1,0,0,0,0,2,0
19170331,0,Inner Queens,1,1917033101,1,5,06/06/2019,4,0,1,10,9,1,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,0,1,2,0
19170331,21.33715,Inner Queens,1,1917033101,1,4,06/05/2019,3,1,1,6,6,0,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,0,1,2,0
19170331,21.33715,Inner Queens,1,1917033101,1,3,06/04/2019,2,1,1,8,8,0,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,0,1,2,0
19170331,21.33715,Inner Queens,1,1917033101,1,2,06/03/2019,1,1,1,4,4,0,995,995,995,995,995,995,995,995,995,995,995,0,0,1,1,0,0,0,0,2,0
19170331,21.33715,Inner Queens,1,1917033101,1,1,06/02/2019,7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
19635989,17.37348,Inner Queens,1,1963598901,1,7,06/24/2019,1,1,1,2,2,0,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,0,1,2,0
19635989,17.37348,Inner Queens,1,1963598901,1,6,06/23/2019,7,1,1,10,10,0,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,0,1,2,0
19635989,17.37348,Inner Queens,1,1963598901,1,5,06/22/2019,6,1,1,22,22,0,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,0,1,2,0
19635989,17.37348,Inner Queens,1,1963598901,1,4,06/21/2019,5,1,1,4,4,0,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,0,1,2,0
19635989,17.37348,Inner Queens,1,1963598901,1,3,06/20/2019,4,1,1,11,11,0,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,0,1,2,0
19635989,17.37348,Inner Queens,1,1963598901,1,2,06/19/2019,3,1,1,5,5,0,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,0,1,1,0
19635989,17.37348,Inner Queens,1,1963598901,1,1,06/18/2019,2,1,1,3,3,0,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,0,1,2,0
19888640,21.29939,Inner Queens,1,1988864001,1,7,06/18/2019,2,1,1,2,2,0,995,995,995,995,995,995,995,995,995,995,995,0,0,0,1,0,0,0,0,1,8.5
19888640,21.29939,Inner Queens,1,1988864001,1,6,06/17/2019,1,1,1,2,2,0,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,0,1,2,8.75
19888640,21.29939,Inner Queens,1,1988864001,1,5,06/16/2019,7,1,1,5,5,0,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,0,1,2,0
19888640,0,Inner Queens,1,1988864001,1,4,06/15/2019,6,0,1,13,12,1,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,0,1,2,0
19888640,21.29939,Inner Queens,1,1988864001,1,3,06/14/2019,5,1,1,4,4,0,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,0,1,2,8
19888640,21.29939,Inner Queens,1,1988864001,1,2,06/13/2019,4,1,1,4,4,0,995,995,995,995,995,995,995,995,995,995,995,0,0,1,0,0,0,0,0,2,9
19888640,21.29939,Inner Queens,1,1988864001,1,1,06/12/2019,3,1,1,8,8,0,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,0,1,2,9
19274519,20.50467,Inner Queens,1,1927451901,1,7,06/09/2019,7,1,1,12,12,0,995,995,995,995,995,995,995,995,995,995,995,1,0,0,0,0,0,0,0,1,0
19274519,0,Inner Queens,1,1927451901,1,6,06/08/2019,6,0,1,5,4,0,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,0,1,2,0
19274519,20.50467,Inner Queens,1,1927451901,1,5,06/07/2019,5,1,1,7,7,0,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,0,1,1,0
19274519,20.50467,Inner Queens,1,1927451901,1,4,06/06/2019,4,1,1,3,3,0,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,0,1,2,0
19274519,20.50467,Inner Queens,1,1927451901,1,3,06/05/2019,3,1,1,4,4,0,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,0,1,2,0
19274519,20.50467,Inner Queens,1,1927451901,1,2,06/04/2019,2,1,1,5,5,0,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,0,1,2,0
19274519,20.50467,Inner Queens,1,1927451901,1,1,06/03/2019,1,1,1,4,4,0,995,995,995,995,995,995,995,995,995,995,995,1,0,0,0,0,0,0,0,1,0
19014686,125.33177,Manhattan Core,1,1901468601,1,7,06/20/2019,4,1,1,3,3,0,995,995,995,995,995,995,995,995,995,995,995,0,0,0,1,0,0,0,0,1,0.5
19014686,125.33177,Manhattan Core,1,1901468601,1,6,06/19/2019,3,1,1,2,2,0,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,0,1,1,0
19014686,125.33177,Manhattan Core,1,1901468601,1,5,06/18/2019,2,1,1,6,6,0,995,995,995,995,995,995,995,995,995,995,995,0,0,0,1,0,0,0,0,2,0
19014686,0,Manhattan Core,1,1901468601,1,4,06/17/2019,1,0,1,5,3,2,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,0,1,1,0
19014686,125.33177,Manhattan Core,1,1901468601,1,3,06/16/2019,7,1,1,3,3,0,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,0,1,1,0
19014686,125.33177,Manhattan Core,1,1901468601,1,2,06/15/2019,6,1,1,7,7,0,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,0,1,1,0
19014686,125.33177,Manhattan Core,1,1901468601,1,1,06/14/2019,5,1,1,3,3,0,995,995,995,995,995,995,995,995,995,995,995,0,0,0,1,0,0,0,0,2,0
19104300,236.93036,Manhattan Core,1,1910430001,1,7,06/17/2019,1,1,1,6,6,0,995,995,995,995,995,995,995,995,995,995,995,1,0,0,1,0,0,0,0,1,0
19104300,0,Manhattan Core,1,1910430001,1,6,06/16/2019,7,0,1,6,5,1,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,0,1,1,0
19104300,236.93036,Manhattan Core,1,1910430001,1,5,06/15/2019,6,1,1,8,8,0,995,995,995,995,995,995,995,995,995,995,995,0,0,0,1,0,0,0,0,2,0
19104300,0,Manhattan Core,1,1910430001,1,4,06/14/2019,5,0,1,13,11,2,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,0,1,2,0
19104300,0,Manhattan Core,1,1910430001,1,3,06/13/2019,4,0,1,11,9,2,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,0,1,2,0
19104300,236.93036,Manhattan Core,1,1910430001,1,2,06/12/2019,3,1,1,9,9,0,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,0,1,2,0
19104300,236.93036,Manhattan Core,1,1910430001,1,1,06/11/2019,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
19489290,64.81816,Manhattan Core,1,1948929001,1,7,06/10/2019,1,1,1,9,9,0,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,0,1,2,0
19489290,64.81816,Manhattan Core,1,1948929001,1,6,06/09/2019,7,1,1,15,15,0,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,0,1,2,0
19489290,64.81816,Manhattan Core,1,1948929001,1,5,06/08/2019,6,1,1,5,5,0,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,0,1,2,0
19489290,64.81816,Manhattan Core,1,1948929001,1,4,06/07/2019,5,1,1,6,6,0,995,995,995,995,995,995,995,995,995,995,995,0,0,0,1,0,0,0,0,2,0
19489290,64.81816,Manhattan Core,1,1948929001,1,3,06/06/2019,4,1,1,4,4,0,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,0,1,2,0
19489290,64.81816,Manhattan Core,1,1948929001,1,2,06/05/2019,3,1,1,2,2,0,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,0,1,2,0
19489290,64.81816,Manhattan Core,1,1948929001,1,1,06/04/2019,2,1,1,3,3,0,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,1,0,2,0
19241657,180.38499,Middle Queens,1,1924165701,1,7,06/04/2019,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
19241657,180.38499,Middle Queens,1,1924165701,1,6,06/03/2019,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
19241657,180.38499,Middle Queens,1,1924165701,1,5,06/02/2019,7,1,1,1,1,0,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,0,1,2,0
19241657,180.38499,Middle Queens,1,1924165701,1,4,06/01/2019,6,1,1,8,8,0,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,0,1,2,0
19241657,180.38499,Middle Queens,1,1924165701,1,3,05/31/2019,5,1,1,2,2,0,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,0,1,2,0
19241657,180.38499,Middle Queens,1,1924165701,1,2,05/30/2019,4,1,1,2,2,0,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,0,1,2,0
19241657,180.38499,Middle Queens,1,1924165701,1,1,05/29/2019,3,1,1,2,2,0,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,0,1,2,0
19976134,13.49094,Middle Queens,1,1997613401,1,7,06/10/2019,1,1,1,10,10,0,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,0,1,0,0,2,2.5
19976134,13.49094,Middle Queens,1,1997613401,1,6,06/09/2019,7,1,1,12,12,0,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,1,0,0,0,1,0
19976134,13.49094,Middle Queens,1,1997613401,1,5,06/08/2019,6,1,1,10,10,0,995,995,995,995,995,995,995,995,995,995,995,0,0,0,1,0,0,0,0,1,0
19976134,13.49094,Middle Queens,1,1997613401,1,4,06/07/2019,5,1,1,9,9,0,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,1,0,0,0,1,0
19976134,13.49094,Middle Queens,1,1997613401,1,3,06/06/2019,4,1,1,7,7,0,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,0,1,2,0
